V,V1,V2
1291,163,2516
1292,163,2611
1293,164,434
1294,164,1613
1295,164,2516
1296,164,2611
1297,164,2712
1298,165,383
1299,165,2803
1300,165,3914
1301,166,181
1302,166,352
1303,166,383
1304,166,1541
1305,166,2095
1306,166,2124
1307,166,2420
1308,166,3153
1309,166,3220
1310,166,3453
1311,166,4003
1312,167,1474
1313,167,1481
1314,167,2019
1315,167,2683
1316,167,2704
1317,167,3293
1318,167,3904
1319,168,673
1320,168,685
1321,168,841
1322,168,902
1323,168,1730
1324,168,1817
1325,168,1989
1326,168,2109
1327,168,2442
1328,169,177
1329,169,350
1330,169,434
1331,169,1126
1332,169,1613
1333,169,1679
1334,169,2611
1335,169,2712
1336,169,3882
1337,170,916
1338,170,924
1339,170,967
1340,170,1020
1341,170,1039
1342,170,1368
1343,170,1737
1344,170,2282
1345,170,2636
1346,170,2695
1347,170,3338
1348,170,3619
1349,170,3736
1350,171,242
1351,171,781
1352,171,1542
1353,171,1712
1354,171,1794
1355,171,2699
1356,171,3446
1357,172,449
1358,172,488
1359,172,497
1360,172,1019
1361,172,1644
1362,172,2151
1363,172,2293
1364,172,2298
1365,172,3082
1366,172,3204
1367,173,571
1368,173,1687
1369,173,1715
1370,173,1728
1371,173,1732
1372,173,1926
1373,173,1945
1374,173,2256
1375,173,2810
1376,173,3075
1377,173,3326
1378,173,3620
1379,173,3981
1380,174,269
1381,174,292
1382,174,361
1383,174,1399
1384,174,1401
1385,174,3316
1386,174,3455
1387,174,3955
1388,174,3956
1389,174,3959
1390,174,3961
1391,174,3965
1392,174,3966
1393,174,3979
1394,175,747
1395,175,841
1396,175,999
1397,175,1718
1398,175,3940
1399,175,3969
1400,176,756
1401,176,3074
1402,176,3119
1403,177,350
1404,177,434
1405,177,1126
1406,177,1613
1407,177,2611
1408,177,2712
1409,177,3299
1410,178,746
1411,178,1245
1412,178,1806
1413,178,2017
1414,178,2088
1415,178,2119
1416,178,2284
1417,178,3256
1418,178,3435
1419,178,3693
1420,179,621
1421,179,2674
1422,180,2407
1423,180,3222
1424,180,3602
1425,181,352
1426,181,383
1427,181,580
1428,181,763
1429,181,1015
1430,181,1317
1431,181,1550
1432,181,1601
1433,181,1878
1434,181,1933
1435,181,1976
1436,181,1993
1437,181,2077
1438,181,2095
1439,181,2108
1440,181,2118
1441,181,2182
1442,181,2183
1443,181,2288
1444,181,2372
1445,181,2420
1446,181,2433
1447,181,2706
1448,181,2848
1449,181,2932
1450,181,3046
1451,181,3153
1452,181,3182
1453,181,3186
1454,181,3220
1455,181,3458
1456,181,3537
1457,181,3563
1458,181,3729
1459,181,3953
1460,182,705
1461,182,907
1462,182,1067
1463,182,1084
1464,182,2297
1465,182,2661
1466,182,3228
1467,182,3871
1468,183,2445
1469,183,2553
1470,183,3141
1471,184,2598
1472,184,2786
1473,185,747
1474,185,797
1475,185,841
1476,185,1329
1477,185,1790
1478,185,1896
1479,185,2215
1480,185,2385
1481,185,2496
1482,185,2564
1483,185,2694
1484,185,3289
1485,185,3360
1486,185,4111
1487,186,587
1488,186,1804
1489,187,226
1490,187,581
1491,187,685
1492,187,747
1493,187,830
1494,187,1246
1495,187,1929
1496,187,3373
1497,187,3895
1498,188,2543
1499,189,2543
1500,190,2543
1501,191,209
1502,191,335
1503,191,437
1504,191,501
1505,191,627
1506,191,954
1507,191,1029
1508,191,1904
1509,191,2141
1510,191,2267
1511,191,2289
1512,191,2406
1513,191,2807
1514,191,2844
1515,191,2867
1516,191,3574
1517,191,3606
1518,191,3778
1519,191,3951
1520,192,289
1521,192,1517
1522,192,2179
1523,192,2916
1524,192,3646
1525,192,3944
1526,193,807
1527,193,904
1528,193,2074
1529,193,2379
1530,193,2380
1531,193,3190
1532,193,3287
1533,193,3510
1534,193,3559
1535,194,343
1536,194,472
1537,194,483
1538,194,488
1539,194,579
1540,194,582
1541,194,583
1542,194,630
1543,194,659
1544,194,725
1545,194,732
1546,194,855
1547,194,881
1548,194,917
1549,194,987
1550,194,1041
1551,194,1129
1552,194,1139
1553,194,1172
1554,194,1192
1555,194,1275
1556,194,1306
1557,194,1343
1558,194,1428
1559,194,1450
1560,194,1512
1561,194,1515
1562,194,1566
1563,194,1606
1564,194,1631
1565,194,1709
1566,194,1716
1567,194,1762
1568,194,1789
1569,194,1994
1570,194,2006
1571,194,2079
1572,194,2094
1573,194,2096
1574,194,2133
1575,194,2167
1576,194,2206
1577,194,2230
1578,194,2252
1579,194,2375
1580,194,2410
1581,194,2444
1582,194,2461
1583,194,2526
1584,194,2570
1585,194,2586
1586,194,2621
1587,194,2662
1588,194,2703
1589,194,2715
1590,194,2739
1591,194,2754
1592,194,2775
1593,194,2824
1594,194,2826
1595,194,2835
1596,194,2881
1597,194,2898
1598,194,2909
1599,194,2912
1600,194,2929
1601,194,2934
1602,194,3203
1603,194,3419
1604,194,3583
1605,194,3590
1606,194,3641
1607,194,3708
1608,194,3773
1609,194,3813
1610,194,3838
1611,195,464
1612,195,635
1613,195,2093
1614,195,2573
1615,195,3704
1616,196,197
1617,196,306
1618,196,661
1619,196,762
1620,196,1859
1621,196,2883
1622,196,3241
1623,196,3302
1624,196,3536
1625,196,4091
1626,197,306
1627,197,661
1628,197,762
1629,197,1859
1630,197,2883
1631,197,3241
1632,197,3302
1633,197,3536
1634,197,4091
1635,198,273
1636,198,1140
1637,198,1167
1638,198,1171
1639,198,1201
1640,198,1521
1641,198,2218
1642,198,2537
1643,198,2679
1644,198,2719
1645,198,2761
1646,198,2766
1647,198,3154
1648,198,3295
1649,198,3551
1650,198,4020
1651,198,4096
1652,199,1226
1653,199,1700
1654,199,1950
1655,199,2271
1656,199,2970
1657,200,304
1658,200,1330
1659,200,2070
1660,200,3102
1661,200,3576
1662,200,3747
1663,201,369
1664,201,383
1665,201,1879
1666,201,3914
1667,202,1434
1668,202,1900
1669,202,3135
1670,202,3217
1671,203,635
1672,204,766
1673,204,832
1674,204,906
1675,204,1133
1676,204,1220
1677,204,2201
1678,204,2858
1679,204,3608
1680,204,3751
1681,204,3793
1682,204,4107
1683,205,3482
1684,206,3199
1685,207,1656
1686,207,1787
1687,207,1788
1688,207,1798
1689,207,2038
1690,207,2046
1691,207,2418
1692,207,2491
1693,207,2711
1694,207,3565
1695,207,3580
1696,207,3673
1697,207,3759
1698,208,801
1699,208,841
1700,208,1098
1701,208,1730
1702,208,1922
1703,208,2109
1704,208,2933
1705,208,2944
1706,208,2968
1707,208,3631
1708,208,3845
1709,209,335
1710,209,437
1711,209,501
1712,209,627
1713,209,954
1714,209,2141
1715,209,2267
1716,209,2289
1717,209,2844
1718,209,2867
1719,209,3606
1720,209,3778
1721,209,3951
1722,210,978
1723,210,2940
1724,210,3065
1725,210,3279
1726,211,779
1727,211,842
1728,211,1176
1729,211,1600
1730,211,1649
1731,211,1969
1732,211,2050
1733,211,2089
1734,211,2419
1735,211,2543
1736,211,2617
1737,211,2832
1738,211,2995
1739,211,3888
1740,212,3352
1741,212,3445
1742,213,711
1743,213,1637
1744,213,2087
1745,213,2303
1746,213,2388
1747,213,2725
1748,213,3588
1749,214,1599
1750,214,2760
1751,214,3068
1752,214,3409
1753,214,3856
1754,215,1197
1755,215,1425
1756,215,1491
1757,215,1588
1758,215,1613
1759,215,1852
1760,215,2062
1761,215,2349
1762,215,2628
1763,215,2727
1764,215,2960
1765,215,3152
1766,215,3271
1767,215,3935
1768,216,3192
1769,217,602
1770,217,1382
1771,217,2717
1772,218,296
1773,218,2645
1774,218,3177
1775,219,707
1776,220,528
1777,220,1896
1778,220,2564
1779,220,3881
1780,221,555
1781,221,2963
1782,222,372
1783,222,403
1784,222,672
1785,222,857
1786,222,1254
1787,222,1654
1788,222,1917
1789,222,1990
1790,222,2451
1791,222,2502
1792,222,3367
1793,222,3569
1794,222,3724
1795,222,4063
1796,223,355
1797,223,420
1798,223,747
1799,223,789
1800,223,841
1801,223,862
1802,223,984
1803,223,1107
1804,223,1536
1805,223,1718
1806,223,1917
1807,223,2047
1808,223,2392
1809,223,2422
1810,223,2442
1811,223,2551
1812,223,2667
1813,223,2793
1814,223,2802
1815,223,2957
1816,223,3667
1817,223,3940
1818,224,979
1819,224,1925
1820,224,2978
1821,225,258
1822,225,346
1823,225,662
1824,225,970
1825,225,2068
1826,225,2186
1827,225,2329
1828,225,2632
1829,225,3420
1830,225,3430
1831,226,581
1832,226,673
1833,226,685
1834,226,742
1835,226,747
1836,226,767
1837,226,830
1838,226,996
1839,226,1098
1840,226,1246
1841,226,1718
1842,226,1730
1843,226,1874
1844,226,1929
1845,226,2195
1846,226,2442
1847,226,2759
1848,226,2933
1849,226,3373
1850,226,3503
1851,226,3774
1852,226,3895
1853,227,628
1854,227,1045
1855,227,1242
1856,227,1565
1857,227,1890
1858,227,1982
1859,227,2489
1860,227,2654
1861,227,2656
1862,227,3760
1863,227,3980
1864,228,301
1865,228,933
1866,228,2422
1867,229,2563
1868,230,308
1869,230,734
1870,230,975
1871,230,1054
1872,230,1059
1873,230,1656
1874,230,1981
1875,230,2093
1876,230,2143
1877,230,2304
1878,230,2374
1879,230,2581
1880,230,2600
1881,230,2603
1882,230,2837
1883,230,3270
1884,230,3704
1885,230,3907
1886,230,4074
1887,231,2759
1888,232,270
1889,232,310
1890,232,481
1891,232,1609
1892,232,1717
1893,232,2606
1894,232,2939
1895,232,3833
1896,233,957
1897,233,3548
1898,234,386
1899,234,1295
1900,234,1999
1901,234,2614
1902,234,2705
1903,234,3543
1904,234,3957
1905,235,265
1906,235,640
1907,235,741
1908,235,749
1909,235,774
1910,235,788
1911,235,814
1912,235,860
1913,235,1034
1914,235,1110
1915,235,1454
1916,235,1506
1917,235,1589
1918,235,1662
1919,235,1725
1920,235,1765
1921,235,1828
1922,235,2258
1923,235,2353
1924,235,2365
1925,235,2464
1926,235,3049
1927,235,3265
1928,235,4092
1929,236,237
1930,236,338
1931,236,1887
1932,236,2181
1933,236,2333
1934,236,2543
